,Tipo Conexión,Tipo Carga,Tipo Corriente,Provincia
1211,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1212,MENNEKES.M,ND 0kW,AC/DC,Barcelona
1213,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1214,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1215,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1216,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
1217,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1218,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1219,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1220,CCS Combo2+ChadeMO,Carga Ultrarrápida (DC),DC,Gerona
1221,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1222,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1223,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1224,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1225,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1226,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1227,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1228,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1229,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1230,CCS Combo2,Carga Ultrarrápida (DC),DC,Lérida
1231,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1232,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1233,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1234,CCS Combo2,Carga Rápida (DC),DC,Barcelona
1235,MENNEKES.M+Schuko,Carga Semirrápida (AC),AC,Barcelona
1236,MENNEKES.TESLA,ND 0kW,AC/DC,Tarragona
1237,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1238,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1239,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1240,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1241,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1242,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
